icpsr2,year,alpha_st,anti_inst,policy,pos_affect,posAffPer,neg_affect,num_tweets,dist,congress,nominate_dim1,nominate_dim2,democrat,seniority,st,op_ideo,pid7,ideo5,white,hispanic,educ,faminc,unionmember,approval_pres,approval_rep,count,name,pop,college,ageless18,age65plus,poverty,black,white_acs,hispanic_acs,unemp_clf,armedforces,nilf,medinc,gini,foreignborn,Incumbent,Party,Biden,Trump20,Clinton,Trump16,Obama,Romney,dempvote20,dempvote16,dempvote12,namedem12016,votesdem12016,namedem22016,votesdem22016,namerep12016,votesrep12016,namerep22016,votesrep22016,totalvotes2016,namedem12018,votesdem12018,namedem22018,votesdem22018,namerep12018,votesrep12018,namerep22018,votesrep22018,totalvotes2018,namedem12020,votesdem12020,namedem22020,votesdem22020,namerep12020,votesrep12020,namerep22020,votesrep22020,totalvotes2020,demHvote2016,uncontested2016,demHvote2018,uncontested2018,demHvote2020,uncontested2020,incumbentD2016,incumbloseD2016,runoffD2016,PRIMARYD2016,GENERALD2016,wongeneralD2016,numcandsD2016,incumbentR2016,incumbloseR2016,runoffR2016,PRIMARYR2016,GENERALR2016,wongeneralR2016,numcandsR2016,incumbentD2018,incumbloseD2018,runoffD2018,PRIMARYD2018,GENERALD2018,wongeneralD2018,numcandsD2018,incumbentR2018,incumbloseR2018,runoffR2018,PRIMARYR2018,GENERALR2018,wongeneralR2018,numcandsR2018,incumbentD2020,incumbloseD2020,runoffD2020,PRIMARYD2020,GENERALD2020,wongeneralD2020,numcandsD2020,incumbentR2020,incumbloseR2020,runoffR2020,PRIMARYR2020,GENERALR2020,wongeneralR2020,numcandsR2020,primaryvote2016,primarychall2016,primaryvote2018,primarychall2018,primaryvote2020,primarychall2020,primvote,primchal,demHvote2016_2,demHvote2018_2,demHvote2020_2,dempvote16_2,trumpy,demHvote,dem_normal,economic,y1,y2,y3,y4,y5,y6,y7,affect
21108,2017,AR,5,0.3567567568,20,0.03603603604,7,555,3,115,0.356,0.574,0,4,AR,0.18297715,4.232150719,3.622180324,0.77854478,0,0.2711492848,4.325619685,0.29233521,3.073408889,3.577490244,53,"Congressional District 3 (116th Congress), Arkansas",807399,0.18202862,0.24819328,0.14300117,0.13467567,0.038588107,0.83272707,0.1443933,0.040559795,0.00099516008,0.38014096,0.27976999,0.4763,0.094936952,Steve Womack,(R),35.2,61.9,30.5,61.9,31.6,65.5,0.36251289,0.33008659,0.32543769,,,,,STEVE WOMACK,217192,,,280907,JOSH MAHONY,74952,,,STEVE WOMACK,148717,,,229708,CELESTE WILLIAMS,106325,,,STEVE WOMACK,214960,,,334262,0,1,0.33510232,0,0.3309367,0,,,,,,,,1,,,,0.7731811596,1,0,0,,,,0.3262925105,0,0,1,,,0.8416071901,0.647417591,1,2,0,,,,0.3180888046,0,0,1,,,,0.6430883558,1,0,1,0,0.84160721,2,1,0,1,0,0,0.11229356,0.1095191,0.10895716,-0.0046488941,0,0.33934572,-0.18258317,0,1,0,0,0,0,0,0.048648648
21563,2017,AR,1,0.5645438898,33,0.05679862306,16,581,4,115,0.549,0.346,0,2,AR,0.032714967,4.126201534,3.375029092,0.84611326,0,0.08937453005,3.942257204,0.19279948,3.16433719,3.087181466,32,"Congressional District 4 (116th Congress), Arkansas",707935,0.111967,0.2248003,0.19076328,0.177077,0.20133205,0.74307954,0.059893917,0.059234813,0.00074492907,0.46318749,0.23587,0.46329999,0.031898409,Bruce Westerman,(R),29.6,67.7,31.3,64.2,35.9,61.8,0.30421376,0.32774869,0.36745137,,,,,BRUCE WESTERMAN,182885,,,244159,HAYDEN CATHERINE SHAMEL,63984,,,BRUCE WESTERMAN,136740,,,204892,WILLIAM H HANSON,75750,,,BRUCE WESTERMAN,191617,,,275035,0,1,0.31876606,0,0.28331843,0,,,,,,,,1,,,,0.7490405842,1,0,0,,,,0.3122815923,0,0,1,,,0.7983992691,0.6673759834,1,2,0,,,,0.2754194921,0,0,1,,,,0.6967004199,1,0,1,0,0.79839927,2,1,0,1,0,0,0.1016118,0.080269329,0.1074192,0.039702684,0,0.33313793,-2.1546597,0,1,0,0,0,0,0,0.084337346
21739,2017,AZ,18,0.6259780908,9,0.01408450704,50,639,1,115,-0.197,0.179,1,1,AZ,0.095227242,4.23414136,3.489168395,0.53806901,0.01993534882,0.2119304374,4.665241019,0.40089175,3.064621317,3.13066227,31,"Congressional District 1 (116th Congress), Arizona",762575,0.14604834,0.23489231,0.18419959,0.17613219,0.033628169,0.65050912,0.23092811,0.081696697,0.001891608,0.48547286,0.26576999,0.458,0.062341411,Tom O'Halleran,(D),50.1,48.4,46.6,47.7,47.9,50.4,0.50862944,0.49416754,0.48728383,TOM O'HALLERAN,142219,,,PAUL BABEU,121745,,,280710,TOM O'HALLERAN,143240,,,WENDY ROGERS,122784,,,266089,TOM O'HALLERAN,188469,,,TIFFANY SHEDD,176709,,,365178,0.53878182,0,0.53844768,0,0.51610172,0,0,,,0.5876870294,0.5066403049,1,2,0,,,0.3082081545,0.4337038225,0,6,1,,,1,0.5383161273,1,1,0,,,0.4374420223,0.4614395935,0,3,1,,,0.5861124597,0.5161017367,1,2,0,,,0.5467393663,0.4838982633,0,2,0.58768702,2,1,1,0.58611244,2,0.58768702,2,0.29028586,0.2899259,0.266361,0.24420156,-0.0068837106,0.53878182,0.49669361,-2.291929,0,1,0,0,0,0,0,0.092331767
21501,2017,AZ,5,0.4612903226,4,0.01290322581,41,310,2,115,0.345,0.027,0,2,AZ,0.082545713,3.912382178,3.226713829,0.64690357,0.1170698489,0.3408487085,6.539192931,0.21642627,2.724177508,2.679081536,58,"Congressional District 2 (116th Congress), Arizona",724083,0.19873941,0.20045631,0.2118735,0.1356861,0.055358294,0.81361806,0.28818381,0.062209155,0.026032392,0.42744055,0.29427999,0.47139999,0.11034232,Ann Kirkpatrick,(D),54.5,43.9,49.6,44.7,48.4,49.9,0.5538618,0.52598089,0.49237031,MATT HEINZ,135873,,,MARTHA MCSALLY,179806,,,315679,ANN KIRKPATRICK,161000,,,LEA MARQUEZ PETERSON,133083,,,294152,ANN KIRKPATRICK,209945,,,BRANDON MARTIN,170975,,,381054,0.43041506,0,0.54746449,0,0.55115247,0,0,,,0.5276802637,0.4304150735,0,2,1,,,1,0.5695849265,1,1,0,,,0.4185071461,0.5473360711,1,7,0,,,0.3415393978,0.4524293563,0,4,1,,,0.7633232236,0.5509586568,1,2,0,,,0.4251470529,0.448689687,0,3,1,1,0.34153938,7,0.42514706,2,1,1,0.18525712,0.29971737,0.30376905,0.27665588,-0.033610582,0.43041506,0.52407098,-0.58060682,0,1,0,0,0,0,0,0.14516129
20305,2017,AZ,307,0.8679669917,28,0.02100525131,715,1333,3,115,-0.598,-0.256,1,8,AZ,-0.23227142,3.514189689,2.904862894,0.37186784,0.1032289872,0.1558758228,5.074844019,0.3258214,2.296940128,2.79765315,46,"Congressional District 3 (116th Congress), Arizona",776579,0.10822847,0.26813886,0.11601266,0.18320738,0.060024802,0.69322503,0.62724334,0.080902278,0.0061115292,0.39174649,0.24541,0.43689999,0.21167582,Raúl Grijalva,(D),62.8,35.7,62.4,32.5,61.4,36.9,0.63756347,0.65753424,0.62461853,RAUL M GRIJALVA,148973,,,,,,,151035,RAUL GRIJALVA,114650,,,"NICOLAS ""NICK"" PIERSON",64868,,,179518,RAUL M GRIJALVA,174243,,,DANIEL WOOD,95594,,,269837,1,1,0.63865465,0,0.64573425,0,1,,,1,0.9863475353,1,1,,,,,,,,1,,,0.998210617,0.6386546196,1,1,0,,,0.4987426655,0.3613453804,0,3,1,,,1,0.6457342766,1,1,0,,,0.9984991131,0.3542657234,0,1,1,1,0.99821061,1,1,1,1,1,1,0.40787977,0.41697273,0.43235129,-0.032915711,1,0.63990539,-2.826057,0,1,0,0,0,0,0,0.55738932
21103,2017,AZ,29,0.6743674367,65,0.07150715072,142,909,4,115,0.697,-0.482,0,4,AZ,0.40653908,4.907407475,3.534545367,0.92136282,0,0.1620076808,5.845767477,0.44584504,3.509508458,3.295029547,53,"Congressional District 4 (116th Congress), Arizona",786254,0.12543075,0.19191889,0.27325901,0.11963309,0.026366798,0.88431984,0.19359265,0.067001112,0.011438888,0.52720737,0.26989001,0.4384,0.074595489,Paul Gosar,(R),30.6,68,27.5,67.7,31,67.2,0.31034482,0.28886554,0.31568229,MIKEL WEISSER,81296,,,PAUL A GOSAR,203487,,,284783,DAVID BRILL,84521,,,PAUL GOSAR,188842,,,277035,DELINA DISANTO,120484,,,PAUL A GOSAR,278002,,,398623,0.28546649,0,0.30918962,0,0.30235443,0,0,,,0.9979706784,0.285466478,0,1,1,,,0.7141898876,0.714533522,1,2,0,,,0.5239732622,0.3050914144,0,2,1,,,1,0.6816539426,1,1,0,,,0.7434632035,0.3022504973,0,2,1,,,0.63126274,0.6974058195,1,2,0.71418989,2,1,1,0.63126272,2,0.71418989,2,0.08149112,0.095598221,0.091418199,0.083443299,0.026816756,0.28546649,0.30496421,-1.3403951,0,1,0,0,0,0,0,0.22772278
21705,2017,AZ,48,0.582867784,85,0.0791433892,110,1074,5,115,0.849,-0.528,0,1,AZ,0.049300652,4.226707452,2.987198861,0.86583489,0,0.4235563873,6.755559636,0.32515746,2.987614457,3.137986115,51,"Congressional District 5 (116th Congress), Arizona",820915,0.23807764,0.25760767,0.16608296,0.075967669,0.047334988,0.83690029,0.18449901,0.041986223,0.0010768038,0.361597,0.37479001,0.42789999,0.0999799,Andy Biggs,(R),41.9,56.4,36.5,57.6,34.6,63.8,0.4262462,0.38788524,0.35162601,TALIA FUENTES,114940,,,ANDY BIGGS,205184,,,320124,JOAN GREENE,127027,,,ANDY BIGGS,186037,,,313064,JOAN GREENE,183171,,,ANDY BIGGS,262414,,,445657,0.35904837,0,0.40575409,0,0.41107982,0,0,,,0.6544613298,0.3590483688,0,2,0,,,0.294934106,0.6409516312,1,4,0,,,0.5931623559,0.405754095,0,2,1,,,1,0.594245905,1,1,0,,,0.5003522574,0.4110134027,0,3,1,,,0.995589658,0.5888250381,1,1,0.29493409,4,1,1,0.99558967,1,0.29493409,4,0.12891573,0.16463639,0.16898662,0.15045497,-0.036259234,0.35904837,0.38858581,1.6428564,0,1,0,0,0,0,0,0.18156424
21105,2017,AZ,2,0.7777777778,1,0.01587301587,5,63,6,115,0.577,-0.292,0,4,AZ,0.18027498,4.242597939,3.20031964,0.77524412,0.08684656,0.3247620503,4.970668215,0.18496223,2.9313496,3.0738655,50,"Congressional District 6 (116th Congress), Arizona",792368,0.27258655,0.20017971,0.18840235,0.10074486,0.04009122,0.83960611,0.17334749,0.044066295,0.00051982026,0.36045128,0.39344001,0.49829999,0.14029971,David Schweikert,(R),47.3,51.4,42.4,52.4,38.8,59.5,0.47922999,0.44725737,0.39471006,W JOHN WILLIAMSON,122866,,,DAVID SCHWEIKERT,201578,,,324444,ANITA MALIK,140559,,,DAVID SCHWEIKERT,173140,,,313699,HIRAL TIPIRNENI,199644,,,DAVID SCHWEIKERT,217783,,,417427,0.3786971,0,0.44806963,0,0.47827286,0,0,,,0.588229383,0.3786970941,0,2,1,,,0.8031376326,0.6213029059,1,2,0,,,0.4221328268,0.4480696464,0,3,1,,,1,0.5519303536,1,1,0,,,0.5316629612,0.4782728477,0,4,1,,,1,0.5217271523,1,1,0.80313766,2,1,1,1,1,0.80313766,2,0.14341149,0.2007664,0.22874492,0.20003915,-0.052547306,0.3786971,0.44039914,1.7217578,0,1,0,0,0,0,0,0.095238097
21502,2017,AZ,63,0.6772575251,44,0.07357859532,280,598,7,115,-0.45,0.026,1,2,AZ,0.053762235,3.433240246,3.224509348,0.5207659,0.01040976234,0.2253186651,5.388559734,0.36162034,2.522984602,3.136968163,47,"Congressional District 7 (116th Congress), Arizona",811872,0.099425763,0.30034044,0.076053858,0.23871374,0.11645432,0.65361041,0.63975477,0.066408537,0.0011739924,0.35286939,0.25044,0.4499,0.2504693,Ruben Gallego,(D),73.7,24.7,71.8,22.6,71.7,26.5,0.74898374,0.76059324,0.73014259,RUBEN GALLEGO,119465,,,EVE NUNEZ,39286,,,158811,RUBEN GALLEGO,113044,,,,,,,132051,RUBEN GALLEGO,165452,,,JOSHUA BARNETT,50226,,,215732,0.75253069,0,1,1,0.76712507,0,1,,,1,0.7522463809,1,1,0,,,1,0.2473758115,0,1,1,,,0.7480446538,0.8560631877,1,2,,,,,,,,1,,,1,0.7669330466,1,1,0,,,1,0.2328166429,0,1,1,1,0.74804467,2,1,1,1,1,0.56630242,1,0.58848089,0.57850206,-0.030450642,0.75253069,0.74657321,-3.0960701,0,1,0,0,0,0,0,0.54180604
20304,2017,AZ,37,0.6463022508,6,0.0192926045,92,311,8,115,0.749,0.087,0,8,AZ,0.20415883,3.952322235,3.220608963,0.69406033,0.08304365303,0.2951528173,6.9172138,0.47138727,3.199725579,3.109796829,48,"Congressional District 8 (116th Congress), Arizona",790494,0.19472988,0.22252162,0.21559051,0.081425034,0.05905674,0.83340669,0.20422672,0.049655821,0.007739027,0.41963187,0.33825999,0.4152,0.098406821,Debbie Lesko,(R),41.4,57.3,37,58.1,36.9,61.7,0.41945288,0.38906413,0.37423936,,,,,,,TRENT FRANKS,204942,298971,HIRAL TIPIRNENI,135569,,,DEBBIE LESKO,168835,,,304417,MICHAEL MUSCATO,170816,,,DEBBIE LESKO,251633,,,422467,,0,0.44535881,0,0.40434703,0,,,,,,,,1,,,0.7106302056,0.6854912349,1,2,0,,,1,0.4453397806,0,1,1,,,0.7717074089,0.5546175148,1,2,0,,,0.5435220069,0.4043298056,0,3,1,,,1,0.5956275875,1,1,0.71063018,2,0.77170742,2,1,1,0.71063018,2,,0.19834447,0.16349652,0.1513709,-0.014824778,,0.39425212,0.71428913,0,1,0,0,0,0,0,0.31511253
